feature,weighted_z,subset
cf14g202,0.47542922478756927,10000-20000
cf18k182,0.4749301064253984,10000-20000
cf19l163,0.4721701866453088,0-10000
cw19l576,0.4641112197913482,0-10000
ch08b199,0.4624082750618753,30000-40000
cf17j487,0.4623017127244914,10000-20000
cf14g183,0.45997000811018585,10000-20000
cw20m005,0.4588091822616227,0-10000
sted_2019,0.4546097049596861,100000-104036
cs18k278,0.4499067064781327,0-10000
cf12e392,0.44593190378839087,10000-20000
cs17j199,0.4435156193735477,0-10000
cs15h448,0.4411933221042342,80000-90000
ch19l130,0.43839441745165003,0-10000
cw12e525,0.4363200686310415,100000-104036
ca08a003,0.4340695338651847,10000-20000
cf18k198,0.4298673931943239,10000-20000
ca18f060,0.4288670186987299,10000-20000
